description,rating,director1,director2,director3,writer1,writer2,writer3,writer4,releasedate,streamdate,runtime,studio,cast1,cast2,cast3,cast4,cast5,cast6,title,year,critics_consensus,genre,tomatometer,tomatometer_review_count,audience_meter,audience_review_count,js_dump_index,avg_score,avg_score_top_critics,top_critics_review_count,avg_score_audience,audience_liked_count,audience_disliked_count,want_to_see_count,pageLink
"
                Michael Douglas stars with red-hot Sharon Stone in this groundbreaking and controversial film that redefined the genre of the sexy thriller.
            ","R (adult situations/language, nudity, sex)
                    ",Paul Verhoeven,NA,NA,Joe Eszterhas,NA,NA,NA,"Mar 20, 1992
                        ","Aug 26, 1997
                        ","
                            127 minutes
                        ","
                        Artisan Entertainment
                    ","
                Michael Douglas
            ","
                Sharon Stone
            ","
                George Dzundza
            ","
                Dorothy Malone
            ","
                Jeanne Tripplehorn
            ","
                Denis Arndt
            ","
                                Basic Instinct
                            ",1992,"Unevenly echoing the work of Alfred Hitchcock, Basic Instinct contains a star-making performance from Sharon Stone but is ultimately undone by its problematic, overly lurid plot.","
                        
                        Drama, 
                        
                        Horror, 
                        
                        Mystery & Suspense, 
                        
                        Romance
                        
                    ",52,63,63,131,137384,5.84,5.34,17,3.53,5689,3309,13627,https://www.rottentomatoes.com/m/basic_instinct
"
                Jigsaw, as well as his apprentice Amanda, have died. After hearing of Detective Kerry's murder, two veteran FBI agents, Agent Strahm and Agent Perez, assist Detective Hoffman in sorting out the remains of Jigsaw's last game. However, SWAT Team Commander Rigg has been put into a deadly game himself, and has only an hour and a half to prevail over a series of twisted, horrifying traps to save an old friend, as well as himself, from a grisly demise.
            ","R (for sequences of grisly bloody violence and torture throughout, and for language)
                    ",Darren Lynn Bousman,NA,NA,Marcus Dunstan,Patrick Melton,NA,NA,"Oct 26, 2007
                        ","Jan 22, 2008
                        ","
                            92 minutes
                        ","
                        Lionsgate Films
                    ","
                Tobin Bell
            ","
                Costas Mandylor
            ","
                Scott Patterson
            ","
                Betsy Russell
            ","
                Lyriq Bent
            ","
                Athena Karkanis
            ","
                                Saw IV
                            ",2007,"Saw IV is more disturbing than compelling, with material already seen in the prior installments.","
                        
                        Horror, 
                        
                        Mystery & Suspense
                        
                    ",20,81,62,569,141454,3.8,2.87,20,3.54,42764,26146,158115,https://www.rottentomatoes.com/m/saw_4
"
                Prolific director Bryan Singer takes a turn towards horror as the producer of this Halloween shocker directed by X2 and Superman Returns screenwriter Mike Dougherty. With four interwoven tales concerning a high-school principal who moonlights as a vicious serial killer, a college-age virgin who's saving herself for that special someone, a woman whose hatred of Halloween is only exceeded by her husband's love of the mischievous holiday, and a callous group of teens who carry out an unforgivably cruel prank, this fall frightener mixes Tarantino-style storytelling with the kind of chills that can only occur on the darkest day of the year. Brian Cox, Anna Paquin, Dylan Baker, and Leslie Bibb all star in a Halloween treat that's sure to deliver a few nasty tricks. ~ Jason Buchanan, Rovi
            ","R (for horror violence, some sexuality/nudity and language)
                    ",Michael Dougherty,NA,NA,Michael Dougherty,NA,NA,NA,"Dec 9, 2007
                        ","Oct 6, 2009
                        ","
                            82 minutes
                        ","
                        Warner Bros. Pictures
                    ","
                Anna Paquin
            ","
                Brian Cox
            ","
                Dylan Baker
            ","
                Leslie Bibb
            ","
                Tahmoh Penikett
            ","
                Moneca Delain
            ",Trick 'r Treat,NA,"A deftly crafted tribute to Halloween legends, Trick 'r' Treat hits all the genre marks with gusto and old fashioned suspense.","
                        
                        Drama, 
                        
                        Horror, 
                        
                        Mystery & Suspense
                        
                    ",84,25,71,31,141432,7.42,4.75,2,3.68,6868,2770,8612,https://www.rottentomatoes.com/m/trick_r_treat
"
                When a bloodthirsty supernatural being that lurks in the shadows preys upon a family, a young woman must fight to protect herself, save her little half-brother, and uncover a mystery about her family's shadowy past.
            ","PG-13 (for terror throughout, violence including disturbing images, some thematic material and brief drug content)
                    ",David F. Sandberg,NA,NA,Eric Heisserer,NA,NA,NA,"Jul 22, 2016
                        ","Oct 25, 2016
                        ","
                            81 minutes
                        ","
                        RatPac-Dune Entertainment
                    ","
                Teresa Palmer
            ","
                Gabriel Bateman
            ","
                Maria Bello
            ","
                Alexander DiPersia
            ","
                Billy Burke
            ","
                Alicia Vela-Bailey
            ",Lights Out,NA,"Lights Out makes skillful use of sturdy genre tropes -- and some terrific performances -- for an unsettling, fright-filled experience that delivers superior chills without skimping on story.","
                        
                        Horror
                        
                    ",76,175,61,27,141695,6.32,6.29,37,3.47,7112,4490,14252,https://www.rottentomatoes.com/m/lights_out_2016
"
                Siobhn's a marine biology student who prefers spending her days alone in a lab. She has to endure a week on a ragged fishing trawler, where she's miserably at odds with the close-knit crew. But out in the deep Atlantic, an unfathomable life form ensnares the boat. When members of the crew succumb to a strange infection, Siobhn must overcome her alienation and anxiety to win the crew's trust, before everyone is lost.
            ","NR
                    ",Neasa Hardiman,NA,NA,Neasa Hardiman,NA,NA,NA,"Apr 10, 2020
                        ","Apr 10, 2020
                        ","
                            89 minutes
                        ","
                        Bright Moving Pictures Sweden
                    ","
                Ardalan Esmaili
            ","
                Connie Nielsen
            ","
                Dougray Scott
            ","
                Hermione Corfield
            ","
                Olwen Four
            ","
                Elie Bouakaze
            ",Sea Fever,NA,"If Sea Fever never quite heats up as much as it could, it remains an engrossing, well-acted sci-fi thriller with effective horror elements.","
                        
                        Horror, 
                        
                        Science Fiction & Fantasy
                        
                    ",NA,NA,NA,NA,135934,6.78,5.61,15,",""audienceVerified"":{}};
root.RottenTomatoes.context.wantToSeeData = {""wantToSeeCount"":139,""ratingsStartDate"":""2020-04-09T21:00:00Z""};
root.RottenTomatoes.context.scoreBoardViewModel = {""hasMovieData"":true,""isReleased"":true,""releaseDate"":""Apr 10, 2020"",""showtimesLink"":""\u002Fshowtimes"",""isVerified"":false,""canVerifyRatings"":true,""isPrerelease"":false,""initialCriticProgress"":0,""initialAudie",""":{},""audienceVerified"":{}};
root.RottenTomatoes.context.wantToSeeData = {""wantToSeeCount"":139,""ratingsStartDate"":""2020-04-09T21:00:00Z""};
root.RottenTomatoes.context.scoreBoardViewModel = {""hasMovieData"":true,""isReleased"":true,""releaseDate"":""Apr 10, 2020"",""showtimesLink"":""\u002Fshowtimes"",""isVerified"":false,""canVerifyRatings"":true,""isPrerelease"":false,""initialCriticProgress"":0,""initialAudien",,139,https://www.rottentomatoes.com/m/sea_fever_2020
"
                Described by Jimmy Kimmel as ""Scary and the Hendersons"" and by writer-director Bobcat Goldthwait himself as ""The Blair-Squatch Project,"" found footage movie Willow Creek is a radical departure in Goldthwait's career after directing a string of black comedies (World's Greatest Dad, God Bless America). In the great American tradition of people venturing into the woods and encountering absolutely pants-wetting terror, what starts as two dorks with a video camera having a lark in a national park metastasizes into something much deeper, darker, and queasier. Set in Humboldt County, California, Willow Creek centers on Jim (Bryce Johnson, Pretty Little Liars) a Bigfoot believer whose idea of a romantic getaway is to head deep into Six Rivers National Forest in Northern California, video camera in tow, trying to shoot his own Bigfoot footage at the site of the Patterson-Gimlin film. That 1967 fragment of footage purporting to show Sasquatch striding along a dry riverbed became a key artifact in the cryptozoology community, and Jim dreams of nothing more than setting foot on the actual location where it was shot. His long-suffering girlfriend, Kelly (Alexie Gilmore, World's Greatest Dad), agrees to tag along for the ride, despite the fact that she thinks Bigfoot has about as much chance of being real as leprechauns. (c) MPI Dark Skies
            ","NR
                    ",Bobcat Goldthwait,NA,NA,Bobcat Goldthwait,NA,NA,NA,"Jun 6, 2014
                        ","Sep 9, 2014
                        ","
                            80 minutes
                        ","
                        MPI Media Group
                    ","
                Alexie Gilmore
            ","
                Bryce Johnson
            ","
                Laura Montagna
            ","
                Bucky Sinister
            ","
                Timmy Red
            ","
                Steven Streufert
            ","
                                Willow Creek
                            ",2014,"Writer-director Bobcat Goldthwait's first foray into horror doesn't break any new ground, but it does wring fresh terror from a well-worn genre formula -- and offers a few nasty laughs in the bargain.","
                        
                        Horror
                        
                    ",81,57,33,7,133906,6.29,6.69,12,2.73,654,1300,4983,https://www.rottentomatoes.com/m/willow_creek
"
                Also known as Death Trap, Starlight Slaughter, Legend of the Bayou and Horror Hotel, the film concerns a maniac (Neville Brand) who lets a crocodile live in the front yard of his motel.
            ","R
                    ",Tobe Hooper,NA,NA,Kim Henkel,Alvin L. Fast,Mardi Rustam,NA,"Jun 30, 1977
                        ","Feb 1, 2000
                        ","
                            96 minutes
                        ","
                        Virgo International
                    ","
                Neville Brand
            ","
                Mel Ferrer
            ","
                Stuart Whitman
            ","
                Carolyn Jones
            ","
                Marilyn Burns
            ","
                William Finley
            ",Eaten Alive,NA,No consensus yet.,"
                        
                        Horror, 
                        
                        Mystery & Suspense
                        
                    ",29,14,30,3,132014,4.42,0,0,2.69,144,337,354,https://www.rottentomatoes.com/m/1006438-eaten_alive
"
                It was supposed to be just an urban legend... On a snowy night in her grandmother's sprawling mansion, teenage Alex (Gabrielle Haugh) and her best friend Miles (Grayson Gabriel) discover a mysterious box hidden away in the attic. Inside are instructions for The Midnight Game, an ancient Pagan ritual said to summon the players' greatest fears. It all seems like harmless fun-until they unleash the terrifying spirit of The Midnight Man, an unholy force who pits them against their darkest demons and dares them to survive. Horror legends Robert Englund and Lin Shaye (A Nightmare on Elm Street) costar in this terrifying, supernatural game of cat and mouse. Play at your own risk...
            ","NR
                    ",Travis Zariwny,NA,NA,Travis Zariwny,NA,NA,NA,"Jan 19, 2018
                        ","Jan 19, 2018
                        ","
                            93 minutes
                        ","
                        IFC Films
                    ","
                Lin Shaye
            ","
                Robert Englund
            ","
                Gabrielle Haugh
            ","
                Grayson Gabriel
            ","
                Emily Haine
            ","
                Summer H. Howell
            ",The Midnight Man,NA,No consensus yet.,"
                        
                        Horror, 
                        
                        Mystery & Suspense
                        
                    ",30,10,31,164,135472,4.6,0,2,2.76,27,59,95,https://www.rottentomatoes.com/m/the_midnight_man_2018
"
                This version of the classic horror tale closely follows Shelley's book. The story begins in the Arctic Sea as the feverish Baron Victor von Frankenstein is rescued by a passing ship. He tells the skeptical captain the ghastly story of how he created a living monster out of exhumed corpses.
            ","R
                    ",Kenneth Branagh,NA,NA,Steph Lady,Kenneth Branagh,Frank Darabont,NA,"Nov 4, 1994
                        ","Aug 7, 2001
                        ","
                            118 minutes
                        ","
                        Sony Pictures Home Entertainment
                    ","
                Robert De Niro
            ","
                Kenneth Branagh
            ","
                Tom Hulce
            ","
                Helena Bonham Carter
            ","
                John Cleese
            ","
                Aidan Quinn
            ","
                                Mary Shelley's Frankenstein
                            ",1994,"Mary Shelley's Frankenstein is ambitious and visually striking, but the overwrought tone and lack of scares make for a tonally inconsistent experience.","
                        
                        Horror
                        
                    ",38,45,49,53,133983,5.5,4.38,11,3.23,2222,2316,7863,https://www.rottentomatoes.com/m/mary_shelleys_frankenstein
"
                Fact: In February of 1959, nine Russian hikers ventured into a remote area of the Ural Mountains in Russia. Fact: Two weeks later, all nine were found dead. What happened to them is a mystery that has baffled investigators and researchers for decades. It has become known as the Dyatlov Pass Incident. Rumors have attributed their deaths to everything from alien encounters and government conspiracies to supernatural causes. To date, no one has been able to adequately explain what drove nine experienced hikers from their tents so frantically that they ripped through the material from the inside; or how their bodies came to be exposed to such dangerous amounts of radiation that it was still detected weeks later. And no one knows why they were discovered hundreds of yards from their camp, half dressed and with internal injuries including broken ribs and fractured skulls, but with no external wounds at all. The body of one young woman was even missing her tongue. Present Day: Five ambitious American college students are issued a grant to return to the site of the original events in the belief that they can uncover and document the truth of what happened at Dyatlov's Pass. But what they find is more shocking than anything they could have imagined. Their trek through the Ural Mountains, retracing the steps of that ill-fated journey, is plagued by strange and increasingly terrifying phenomena, all of which suggest that in spite of their desolate surroundings, they are not alone. The forces behind the Dyatlov Pass Incident have been waiting for them. The students' recently recovered footage - the only clue to what happened to them - was deemed too disturbing for public eyes. But, like everything else connected to Dyatlov's Pass, the truth has found its way out. (c) IFC Films
            ","R (for some violence/disturbing images, and for a sexual reference)
                    ",Renny Harlin,NA,NA,Vikram Weet,NA,NA,NA,"Aug 23, 2013
                        ","Dec 16, 2013
                        ","
                            96 minutes
                        ","
                        DPI Productions LLC.
                    ","
                Holly Gross
            ","
                Matt Stokoe
            ","
                Luke Albright
            ","
                Ryan Hawley
            ","
                Gemma Atkinson
            ","
                Richard Reid
            ","
                                The Dyatlov Pass Incident (Devil's Pass)
                            ",2013,No consensus yet.,"
                        
                        Horror, 
                        
                        Mystery & Suspense
                        
                    ",48,23,29,1,138441,4.91,4.75,5,2.77,259,635,310,https://www.rottentomatoes.com/m/the_dyatlov_pass_incident
"
                Mike Mignola's acclaimed comic book series about a creature from Hades who joins the battle against evil arrives on the screen in vivid form in this adaptation directed by distinctive horror filmmaker Guillermo del Toro. During World War II, the Third Reich has joined forces with the evil Grigori Rasputin (Karel Roden), who has used his occult powers to summon up a young demon from the depth of Hell to be used as the ultimate Axis weapon. However, the demonic creature is captured by American forces, and put in the care of Professor Broom (John Hurt), the founder of a top-secret organization called the Bureau for Paranormal Research and Defense. Under Broom's tutelage, the creature develops empathy and a desire to do good while his physical powers and paranormal talents are honed to a fine point. Sixty years later, the demon, now known as Hellboy (Ron Perlman), is part of an elite secret defense team alongside Liz Sherman (Selma Blair), a beautiful young woman who can create fire with her mind, and Abe Sapian (Doug Jones), an aquatic humanoid with the power of telepathy. Despite his many years of fighting for right, Hellboy finds himself facing his greatest challenge when the powerful Rasputin returns, determined to bring the demon back to the forces of darkness so that evil may finally rule the world. Hellboy's supporting cast also includes Jeffrey Tambor, Rupert Evans, and Brian Steele. ~ Mark Deming, Rovi
            ","PG-13 (for sci-fi action violence and frightening images)
                    ",Guillermo del Toro,NA,NA,Guillermo del Toro,NA,NA,NA,"Apr 2, 2004
                        ","Jul 27, 2004
                        ","
                            122 minutes
                        ","
                        Sony Pictures
                    ","
                Ron Perlman
            ","
                John Hurt
            ","
                Selma Blair
            ","
                Rupert Evans
            ","
                Karel Roden
            ","
                Jeffrey Tambor
            ","
                                Hellboy
                            ",2004,"With wit, humor and Guillermo del Toro's fantastic visuals, the entertaining Hellboy transcends the derivative nature of the genre.","
                        
                        Action & Adventure, 
                        
                        Horror, 
                        
                        Science Fiction & Fantasy
                        
                    ",81,201,66,458,141428,6.76,6.91,43,3.53,26593,13955,33296,https://www.rottentomatoes.com/m/hellboy
"
                Vicente Aranda directed this erotic horror film, continuing themes which he had explored in the previous year's Exquisite Cadaver. Alexandra Bastedo stars as a lesbian vampire who woos frigid newlywed Maribel Martin away from her husband Simon Andreu on their honeymoon. Aranda fills the film with haunting imagery, gorgeously photographed by veteran cinematographer Fernando Arribas, and the story's sometimes illogical twists are compensated for with heavy, skillfully-crafted atmosphere. The American video print of this stylish vampire film is missing almost 20 minutes, so viewers are advised to seek out an uncut version. ~ Robert Firsching, Rovi
            ","R (adult situations/language, nudity, violence)
                    ",Vicente Aranda,NA,NA,Vicente Aranda,NA,NA,NA,"Sep 30, 1972
                        ","Apr 26, 1999
                        ","
                            82 minutes
                        ","
                        Anchor Bay Entertainment
                    ","
                Simn Andreu
            ","
                Maribel Martn
            ","
                Alexandra Bastedo
            ","
                Dean Selmier
            ","
                ngel Lombarte
            ","
                Montserrat Julio
            ",La Novia Ensangrentada (The Blood Spattered Bride) (Blood Castle),NA,No consensus yet.,"
                        
                        Art House & International, 
                        
                        Horror
                        
                    ",100,6,40,668,134129,7.1,0,0,3.08,42,63,136,https://www.rottentomatoes.com/m/blood_spattered_bride
